	struct	inchi_key	method	status
233	C(C(CCO)(C(C(CO)=O)O)O)=O	UNTNYRHMQOPAOB-UHFFFAOYSA-N	chemaxon	valid
234	C(C(C(CO)C(CO)(CO)O)=O)=O	COJZSIQKJGVYKC-UHFFFAOYSA-N	chemaxon	valid
235	C(CO)(C(C(CO)(CCO)O)O)=O	IHQDVRJNVAGIHH-UHFFFAOYSA-N	chemaxon	valid
236	C(C(C(CO)(CO)O)O)(CCO)=O	HHXHJSWTPVJIAM-UHFFFAOYSA-N	chemaxon	valid
237	C(CO)(C(CO)C(CO)(CO)O)=O	BYLJLYMKIMTZIM-UHFFFAOYSA-N	chemaxon	valid
238	C(C(C(C(C(CO)=O)O)O)O)=O	ZAVYLQGLQYIKKF-UHFFFAOYSA-N	chemaxon	valid
239	C(CO)(C(C(CO)(C)O)O)=O	HFVQLJMYXMMRQM-UHFFFAOYSA-N	chemaxon	valid
240	C(CO)(CC(CO)(CO)O)=O	SUYWWIOIVQEMNS-UHFFFAOYSA-N	chemaxon	valid
241	C(C)(C(C(CO)(CO)O)O)=O	RBBKOZMUCUHIQM-UHFFFAOYSA-N	chemaxon	valid
242	C(CC(C(C(C(CO)=O)O)O)O)=O	ULFOGWCNDKVHBV-UHFFFAOYSA-N	chemaxon	valid
243	C(C(CC(C(C(CO)=O)O)O)O)=O	NKBHIDAPPVNYEH-UHFFFAOYSA-N	chemaxon	valid
244	C(C(C(CO)(CO)O)C(C=O)O)=O	LMQXYGKYVNZSNG-UHFFFAOYSA-N	chemaxon	valid
245	C(CO)(C(C(C)O)O)=O	MRKRITSFTIHTAQ-UHFFFAOYSA-N	database	valid
246	C(CC(CO)(CO)O)=O	RLJYTLNHFAJLAE-UHFFFAOYSA-N	chemaxon	valid
247	C(CO)(C(C(CN)O)O)=O	NSKJHRGIUMZEHF-UHFFFAOYSA-N	chemaxon	valid
248	C(C(C(CO)(CO)O)N)=O	ZSXYDPAMQLXZSJ-UHFFFAOYSA-N	chemaxon	valid
249	C(C(C(CO)=O)C(C(CO)O)O)=O	KCLUWZPMMXLNIJ-UHFFFAOYSA-N	chemaxon	valid
250	C(CC(C(C(C(CO)O)O)O)=O)=O	PMLJZHJARZIVRE-UHFFFAOYSA-N	chemaxon	valid
251	C(C(C(CC(C(CO)O)O)=O)O)=O	FDRZXNOSFYCFIT-UHFFFAOYSA-N	chemaxon	valid
252	C(C(CO)O)(CC(C(CO)O)O)=O	LIOJCUCBHBYHGX-UHFFFAOYSA-N	chemaxon	valid
253	C(C(C(CO)C(C(CO)O)O)=O)=O	DVCZKKSUCIVCQU-UHFFFAOYSA-N	chemaxon	valid
254	C(C(C(C(CO)O)O)O)(CCO)=O	XTOIKAAPJUGCPT-UHFFFAOYSA-N	chemaxon	valid
255	C(CO)(C(CO)C(C(CO)O)O)=O	KXEFPIFNUNDZOS-UHFFFAOYSA-N	chemaxon	valid
256	C(C(C(C(CO)O)O)C(C=O)O)=O	YYJZWLYJUVMINI-UHFFFAOYSA-N	chemaxon	valid
257	C(CC(C(CO)O)O)=O	ASJSAQIRZKANQN-UHFFFAOYSA-N	database	valid
258	C(C(C(C(CO)O)O)N)=O	RNZJRDIKDNXKIJ-UHFFFAOYSA-N	chemaxon	valid
259	C(CO)(C(C(CO)(CN)O)N)=O	SIQKLYFCQUAREL-UHFFFAOYSA-N	chemaxon	valid
260	C(CN)(C(C(CO)(CN)O)O)=O	AGNNHWCBEUMHDN-UHFFFAOYSA-N	chemaxon	valid
261	C(CO)(C(C(C(C)=O)O)N)=O	QZRMXSVZXCRGAO-UHFFFAOYSA-N	chemaxon	valid
262	C(C(C)(C(C(CO)=O)N)O)=O	MSKONFCVYLNJPN-UHFFFAOYSA-N	chemaxon	valid
263	C(C(C)(C(C(CN)=O)O)O)=O	FHYSZSPWXQFGGH-UHFFFAOYSA-N	chemaxon	valid
264	C(C(CC(CO)(CN)O)=O)=O	OMPVMQXVAIVXEY-UHFFFAOYSA-N	chemaxon	valid
265	C(CO)(CC(C(C(CO)=O)N)O)=O	RXGCYNIOYFZWHC-UHFFFAOYSA-N	chemaxon	valid
266	C(CN)(C(C(CC(CO)=O)O)O)=O	NEILVIJZEVTATQ-UHFFFAOYSA-N	chemaxon	valid
267	C(CC(CO)(C(C(CO)=O)N)O)=O	UTOGBUDAHJUXAD-UHFFFAOYSA-N	chemaxon	valid
268	C(CC(CO)(C(C(CN)=O)O)O)=O	OEIPGXBXPFZMQJ-UHFFFAOYSA-N	chemaxon	valid
269	C(C(C(CO)=O)C(CO)(CN)O)=O	BKPYVAOYKLESQJ-UHFFFAOYSA-N	chemaxon	valid
270	C(CC(C(C(CO)(CN)O)O)=O)=O	BIGUGYYNHFVCFJ-UHFFFAOYSA-N	chemaxon	valid
271	C(C)(C(C(C(C(CO)=O)N)O)O)=O	CWUUNCSGPBQPLT-UHFFFAOYSA-N	chemaxon	valid
272	C(C)(C(C(C(C(CN)=O)O)O)O)=O	DQHGQKCZWTWPDZ-UHFFFAOYSA-N	chemaxon	valid
273	C(C(C(C)(C(C(CO)=O)N)O)O)=O	RZYPWCOFWFOMDE-UHFFFAOYSA-N	chemaxon	valid
274	C(C(C(C)(C(C(CN)=O)O)O)O)=O	FVEUCENYSGITDC-UHFFFAOYSA-N	chemaxon	valid
275	C(C(C(CC(CO)(CN)O)=O)O)=O	QGWUDWCGSPXBQT-UHFFFAOYSA-N	chemaxon	valid
276	C(C(C(C(CO)=O)N)O)=O	QWVSJAOISGILAV-UHFFFAOYSA-N	chemaxon	valid
277	C(C(C(C(CN)=O)O)O)=O	YRBZBJHRIGQRSX-UHFFFAOYSA-N	chemaxon	valid
278	C(CO)(C(C(C)(C(CO)O)O)N)=O	IVGWSBUASIJNHM-UHFFFAOYSA-N	chemaxon	valid
279	C(CN)(C(C(C)(C(CO)O)O)O)=O	XTOOSBDBDILBBV-UHFFFAOYSA-N	chemaxon	valid
280	C(C(CO)O)(CC(CO)(CN)O)=O	VTJDXKCLPNOMEK-UHFFFAOYSA-N	chemaxon	valid
281	C(CO)(C(CO)N)=O	MTPLMYSUTMBRKU-UHFFFAOYSA-N	chemaxon	valid
282	C(C(C(C(CCO)=O)O)N)(CO)=O	MMYSGLDNWZBAKY-UHFFFAOYSA-N	chemaxon	valid
283	C(C(C(C(CCO)=O)O)O)(CN)=O	QKBMNHFPLMQFLZ-UHFFFAOYSA-N	chemaxon	valid
284	C(C(CCO)(C(C(CO)=O)N)O)=O	SOYBIKVCQIJNCA-UHFFFAOYSA-N	chemaxon	valid
285	C(C(CCO)(C(C(CN)=O)O)O)=O	SVDYZCSOEFNNBT-UHFFFAOYSA-N	chemaxon	valid
286	C(C(C(CO)C(CO)(CN)O)=O)=O	YWTAQCJMWKMMPD-UHFFFAOYSA-N	chemaxon	valid
287	C(CO)(C(C(CO)(CCO)O)N)=O	YAIUMIHMWRVSPU-UHFFFAOYSA-N	chemaxon	valid
288	C(CN)(C(C(CO)(CCO)O)O)=O	VAGXNHALJPVKLP-UHFFFAOYSA-N	chemaxon	valid
289	C(C(C(CO)(CN)O)O)(CCO)=O	DIMMFOSSVNDYKH-UHFFFAOYSA-N	chemaxon	valid
290	C(CO)(C(CO)C(CO)(CN)O)=O	OOKLCONMDSZZAS-UHFFFAOYSA-N	chemaxon	valid
291	C(C(C(C(C(CO)=O)N)O)O)=O	KNOUFBKOXYAYMR-UHFFFAOYSA-N	chemaxon	valid
292	C(C(C(C(C(CN)=O)O)O)O)=O	MUKWJBJGFIVKQV-UHFFFAOYSA-N	chemaxon	valid
293	C(CO)(C(C(CO)(C)O)N)=O	TXOGIXKACKDTHB-UHFFFAOYSA-N	chemaxon	valid
294	C(CN)(C(C(CO)(C)O)O)=O	BLKWVMZNQNLKQR-UHFFFAOYSA-N	chemaxon	valid
295	C(CO)(CC(CO)(CN)O)=O	WQWXZYUDASUZDR-UHFFFAOYSA-N	chemaxon	valid
296	C(C)(C(C(CO)(CN)O)O)=O	VFWDSQGCHJHDQE-UHFFFAOYSA-N	chemaxon	valid
297	C(CC(C(C(C(CO)=O)N)O)O)=O	MRFAENYIWYTWCF-UHFFFAOYSA-N	chemaxon	valid
298	C(CC(C(C(C(CN)=O)O)O)O)=O	CNPUCOKBPHZQSD-UHFFFAOYSA-N	chemaxon	valid
299	C(C(CC(C(C(CO)=O)N)O)O)=O	FQZCZINFCDFGQP-UHFFFAOYSA-N	chemaxon	valid
300	C(C(CC(C(C(CN)=O)O)O)O)=O	PAHMUIWTEVDJRC-UHFFFAOYSA-N	chemaxon	valid
301	C(C(C(CO)(CN)O)C(C=O)O)=O	DMIXDCNVFQFGJB-UHFFFAOYSA-N	chemaxon	valid
302	C(CO)(C(C(C)O)N)=O	CXFDMCGOFSDJFK-UHFFFAOYSA-N	chemaxon	valid
303	C(CN)(C(C(C)O)O)=O	PPFTYFJBDQDNLS-UHFFFAOYSA-N	chemaxon	valid
304	C(CC(CO)(CN)O)=O	BCDIGRSIKYETOL-UHFFFAOYSA-N	chemaxon	valid
305	C(CO)(C(C(CN)O)N)=O	UBYNXIGHTJSTMH-UHFFFAOYSA-N	chemaxon	valid
306	C(CN)(C(C(CN)O)O)=O	VZZJVRSIHGEVPT-UHFFFAOYSA-N	chemaxon	valid
307	C(C(C(CN)(CO)O)N)=O	ASMJPAWXLLYEGB-UHFFFAOYSA-N	chemaxon	valid
308	C(C(C)(CC(C=O)=O)O)=O	PKVOWOLBSLVKMK-UHFFFAOYSA-N	chemaxon	valid
309	C(CO)(CC(CC(C=O)=O)O)=O	ATZVCUMYIXRKEU-UHFFFAOYSA-N	chemaxon	valid
310	C(CC(CO)(CC(C=O)=O)O)=O	YPSFMARMHRMTAH-UHFFFAOYSA-N	chemaxon	valid
311	C(C(C(CO)=O)C(C(C)=O)O)=O	ZFCYQRPKCMANTC-UHFFFAOYSA-N	chemaxon	valid
312	C(C(C)(C(C=O)C(CO)=O)O)=O	QHWYRESTPFQWEO-UHFFFAOYSA-N	chemaxon	valid
313	C(CC(C(C(C(C)=O)O)O)=O)=O	CIGMKNFTSOZTGY-UHFFFAOYSA-N	chemaxon	valid
314	C(C(C)(C(C(CC=O)=O)O)O)=O	PWSDVCAGPCHGAO-UHFFFAOYSA-N	chemaxon	valid
315	C(C)(C(C(CC(C=O)=O)O)O)=O	XQZCATRIAFXYDK-UHFFFAOYSA-N	chemaxon	valid
316	C(C(C(C)(CC(C=O)=O)O)O)=O	ULEJWEPJEVRUDF-UHFFFAOYSA-N	chemaxon	valid
317	C(C(C(CC(C(C)=O)O)=O)O)=O	FIRMLHHMMMIXOC-UHFFFAOYSA-N	chemaxon	valid
318	C(C(C)(CC(C(C=O)O)=O)O)=O	VBRQQAGOBFPGNC-UHFFFAOYSA-N	chemaxon	valid
319	C(C(CC(C=O)=O)O)=O	XQZLUHMLOOGWMJ-UHFFFAOYSA-N	database	valid
320	C(C(CC(C)(C(CO)O)O)=O)=O	BPDJZQNMULGAOC-UHFFFAOYSA-N	chemaxon	valid
321	C(CC(C(C)=O)O)(C(CO)O)=O	PWSOHNXEIARPMG-UHFFFAOYSA-N	chemaxon	valid
322	C(C(C)(CC(C(CO)O)=O)O)=O	GUIKSEWQILZROY-UHFFFAOYSA-N	chemaxon	valid
323	C(C(CC(C=O)=O)O)(CCO)=O	XZUDQHNFSRZSIH-UHFFFAOYSA-N	chemaxon	valid
324	C(C(CCO)(CC(C=O)=O)O)=O	RTHNTTMIWIXJJO-UHFFFAOYSA-N	chemaxon	valid
325	C(C(C(C(C=O)=O)CO)O)(C)=O	WZAUFTSYOCIRFN-UHFFFAOYSA-N	chemaxon	valid
326	C(C(C)(C(C(C=O)=O)CO)O)=O	IBJXRQBABOHUHL-UHFFFAOYSA-N	chemaxon	valid
327	C(C(CC(CO)(CCO)O)=O)=O	LWYMQNJMGMCCFO-UHFFFAOYSA-N	chemaxon	valid
328	C(C(C(C(CCO)=O)O)O)(C)=O	CQANLFJYHMBDIH-UHFFFAOYSA-N	chemaxon	valid
329	C(C(C)(C(C(CCO)=O)O)O)=O	JTSJCBSBAPKSHV-UHFFFAOYSA-N	chemaxon	valid
330	C(CO)(C(CO)C(C(C)=O)O)=O	KNGCZEMXKNYSEB-UHFFFAOYSA-N	chemaxon	valid
331	C(C(C)(C(C(CO)=O)CO)O)=O	VPYMORJLJXJQFS-UHFFFAOYSA-N	chemaxon	valid
332	C(C(C(CC(C=O)=O)O)O)=O	ZLQOLDGYNKDOQZ-UHFFFAOYSA-N	chemaxon	valid
333	C(C(CC(C)(CO)O)=O)=O	SWTHDWFUJAWMDU-UHFFFAOYSA-N	database	valid
334	C(C)(C(CC(CO)=O)O)=O	XLUGOLRJPRATMY-UHFFFAOYSA-N	database	valid
335	C(C(C)(CC(CO)=O)O)=O	QPFNPOFUCRICAE-UHFFFAOYSA-N	chemaxon	valid
336	C(C)(C(C(C(C)=O)O)O)=O	RQDWELNLPMBYMA-UHFFFAOYSA-N	database	valid
337	C(C(C)(C(C(C)=O)O)O)=O	ZFPKEBYORKZJID-UHFFFAOYSA-N	chemaxon	valid
338	C(CC(C(CC(C=O)=O)O)O)=O	SWOVJBVYQZTSPG-UHFFFAOYSA-N	chemaxon	valid
339	C(C(CC(CC(C=O)=O)O)O)=O	VUKNGCINVGPPEU-UHFFFAOYSA-N	chemaxon	valid
340	C(C(C(C=O)C(C(C)=O)O)O)=O	ITWKYCNWZQTBIG-UHFFFAOYSA-N	chemaxon	valid
341	C(C(C(C=O)C(C=O)(C)O)O)=O	COKXFFDFPCPFGS-UHFFFAOYSA-N	chemaxon	valid
342	C(C(C(C(CC(C=O)=O)O)O)O)=O	RVQRDMBKYQGAKB-UHFFFAOYSA-N	chemaxon	valid
343	C(C(CC(C)O)=O)=O	NSUJYXKDWVMPFQ-UHFFFAOYSA-N	database	valid
344	C(CC(C(C)=O)O)=O	NOUSTAVYEGHJSP-UHFFFAOYSA-N	chemaxon	valid
345	C(C(C)(CC=O)O)=O	NIZSQAKBEFUFNL-UHFFFAOYSA-N	chemaxon	valid
346	C(C(CC(CO)(C(CO)O)O)=O)=O	YXKXZMIANQJDGI-UHFFFAOYSA-N	chemaxon	valid
347	C(C(C(C(C(CO)O)=O)O)O)(C)=O	DDOVDMITKUANRR-UHFFFAOYSA-N	chemaxon	valid
348	C(C(C)(C(C(C(CO)O)=O)O)O)=O	KWKXIQNUUMIQDR-UHFFFAOYSA-N	chemaxon	valid
349	C(C(CC(CN)O)=O)=O	CSBCFQQWPRMCEY-UHFFFAOYSA-N	chemaxon	valid
350	C(C(C(C(C)=O)O)N)=O	AELODSOASBMCLR-UHFFFAOYSA-N	chemaxon	valid
351	C(C(C)(C(C=O)N)O)=O	WHJYXSQUUYNDAB-UHFFFAOYSA-N	chemaxon	valid
352	C(C(CC(CN)(C(CO)O)O)=O)=O	AHJADEYXPVZNBC-UHFFFAOYSA-N	chemaxon	valid
353	C(C(C(C(C)=O)O)N)(C(CO)O)=O	YCXZLJIKMKDXOK-UHFFFAOYSA-N	chemaxon	valid
354	C(C(C)(C(C(C(CO)O)=O)N)O)=O	DOIUPZBOBFWTPL-UHFFFAOYSA-N	chemaxon	valid
355	C(C(CC(C(C(CO)N)O)O)=O)=O	KUMWAFVBWWDUCP-UHFFFAOYSA-N	chemaxon	valid
356	C(C(C(CO)=O)C(C=O)O)=O	WJRCTJKBGSHYKP-UHFFFAOYSA-N	chemaxon	valid
357	C(CC(C(C(C=O)O)O)=O)=O	LYFDFIIHZXDLKL-UHFFFAOYSA-N	chemaxon	valid
358	C(C(C(CO)=O)CO)=O	UYPKTDMPUUECPY-UHFFFAOYSA-N	chemaxon	valid
359	C(CC(C(CO)O)=O)=O	WMYQOIISFLWAAG-UHFFFAOYSA-N	chemaxon	valid
360	C(C(C(C(C=O)C(CO)=O)O)O)=O	HUABETICTRVXNL-UHFFFAOYSA-N	chemaxon	valid
361	C(CC(C(C(C(C=O)O)O)O)=O)=O	YLXYIEKJBXAYST-UHFFFAOYSA-N	chemaxon	valid
362	C(C(C(CO)=O)C(CO)(C)O)=O	LMMRWYGKCKPPMA-UHFFFAOYSA-N	chemaxon	valid
363	C(CC(C(C(CO)(C)O)O)=O)=O	JSXSXEUMAGNLEY-UHFFFAOYSA-N	chemaxon	valid
364	C(CO)(CC(CC(CO)=O)O)=O	BXIDKVOKEHHOPM-UHFFFAOYSA-N	chemaxon	valid
365	C(CC(CO)(CC(CO)=O)O)=O	RUNLLBDJYYNYBM-UHFFFAOYSA-N	chemaxon	valid
366	C(C)(C(C(CC(CO)=O)O)O)=O	OYBUHTPOGNLJMY-UHFFFAOYSA-N	chemaxon	valid
367	C(CC(CO)(C(C(C)=O)O)O)=O	PZLXLRJPTYMEMW-UHFFFAOYSA-N	chemaxon	valid
368	C(C(C(CO)=O)C(C)O)=O	JCJLZNREIUAFRC-UHFFFAOYSA-N	chemaxon	valid
369	C(CC(C(C(C)O)O)=O)=O	XODVOWWRXNBKHV-UHFFFAOYSA-N	chemaxon	valid
370	C(CC(CC(CO)=O)O)=O	OGLCPYOXSPKOPC-UHFFFAOYSA-N	chemaxon	valid
371	C(CC(CO)(CC=O)O)=O	OKSYAZJNLSVBBO-UHFFFAOYSA-N	chemaxon	valid
372	C(C(C(CO)=O)C(CN)O)=O	DCWPTWSYZMWKIL-UHFFFAOYSA-N	chemaxon	valid
373	C(CC(C(C(CN)O)O)=O)=O	VMCCARNNUOIRPT-UHFFFAOYSA-N	chemaxon	valid
374	C(C(C(CC(CO)=O)O)N)=O	VNBYXOQOCGWZFJ-UHFFFAOYSA-N	chemaxon	valid
375	C(CC(CO)(C(C=O)N)O)=O	WKIWQZKYQRMNFP-UHFFFAOYSA-N	chemaxon	valid
376	C(C(C(CC(C=O)O)=O)O)=O	XUZMBYKHNVXXID-UHFFFAOYSA-N	chemaxon	valid
377	C(C(C(CCO)=O)O)=O	VLANIYKAIBIISW-UHFFFAOYSA-N	chemaxon	valid
378	C(CC(C(C=O)O)O)(C(C=O)O)=O	VMQJXIQPVACLRO-UHFFFAOYSA-N	chemaxon	valid
379	C(C(C(CC(CO)(C)O)=O)O)=O	ZRMBXIKASCPRFG-UHFFFAOYSA-N	chemaxon	valid
380	C(C(C(C)(CC(CO)=O)O)O)=O	GWUZMTCEZFZAML-UHFFFAOYSA-N	chemaxon	valid
381	C(C)(C(C(C(C(C)=O)O)O)O)=O	RMFHJNQCSIVIEA-UHFFFAOYSA-N	chemaxon	valid
382	C(C(C(C)(C(C(C)=O)O)O)O)=O	MUNUQZQBUPPELK-UHFFFAOYSA-N	chemaxon	valid
383	C(C(C(CC(C)O)=O)O)=O	PNLFKTYHPCBBKO-UHFFFAOYSA-N	chemaxon	valid
384	C(CC(C(C(C)=O)O)O)=O	PBASCAWCKOMBLD-UHFFFAOYSA-N	chemaxon	valid
385	C(CC(C)(C(C=O)O)O)=O	XEFYYRVKNVZWKC-UHFFFAOYSA-N	chemaxon	valid
386	C(C(C(CC(CN)O)=O)O)=O	ZMEILYOCLSHQDN-UHFFFAOYSA-N	chemaxon	valid
387	C(C(C(C(C(C)=O)O)O)N)=O	URYGCMBOMHUVKQ-UHFFFAOYSA-N	chemaxon	valid
388	C(C(C(C)(C(C=O)O)O)N)=O	RFTGWPCIEOLYOI-UHFFFAOYSA-N	chemaxon	valid
389	C(C(C(C(CO)=O)C(C=O)O)O)=O	WGOLBUULZDYSQO-UHFFFAOYSA-N	chemaxon	valid
390	C(C(C(C(CC(C=O)O)=O)O)O)=O	IAMZHKPHKJSRTK-UHFFFAOYSA-N	chemaxon	valid
391	C(C(C(C(C=O)=O)CO)O)=O	JRLZIWXDZWQVTE-UHFFFAOYSA-N	chemaxon	valid
392	C(CO)(C(CO)C(C=O)O)=O	JWVOALOLIWYTMR-UHFFFAOYSA-N	chemaxon	valid
393	C(C(C(C=O)C(C=O)O)O)=O	AHBQAENKEOZBGU-UHFFFAOYSA-N	chemaxon	valid
394	C(C(C(C=O)O)O)(C(CO)O)=O	QMBDQSXXSRHQLR-UHFFFAOYSA-N	chemaxon	valid
395	C(C(C(C=O)N)O)=O	HWBAZNKIRINOKC-UHFFFAOYSA-N	chemaxon	valid
396	C(C(C(C=O)O)N)(C(CO)O)=O	AJMCRODHPLSBIB-UHFFFAOYSA-N	chemaxon	valid
397	C(C(CO)O)(CCO)=O	IZYOBKKJVPRWAF-UHFFFAOYSA-N	chemaxon	valid
398	C(C(CO)O)(CC(C(C=O)O)O)=O	CESCTFUUABVWEU-UHFFFAOYSA-N	chemaxon	valid
399	C(C(CO)O)(CC(CO)(C)O)=O	KGMAGSYXWBEQJC-UHFFFAOYSA-N	chemaxon	valid
400	C(CO)(CC(C)(C(CO)O)O)=O	FGEPGGGVGFHWCN-UHFFFAOYSA-N	chemaxon	valid
401	C(C)(C(C(C)(C(CO)O)O)O)=O	MJEDKJVEWJDYHU-UHFFFAOYSA-N	chemaxon	valid
402	C(C(CO)O)(CC(C)O)=O	GFFKZVUFWOOERJ-UHFFFAOYSA-N	chemaxon	valid
403	C(CC(C)(C(CO)O)O)=O	BUQSEVBRGIGBOC-UHFFFAOYSA-N	chemaxon	valid
404	C(C(CO)O)(CC(CN)O)=O	RYMHXKSOFRDMFW-UHFFFAOYSA-N	chemaxon	valid
405	C(C(C(C)(C(CO)O)O)N)=O	PVZYWQDSXQSODU-UHFFFAOYSA-N	chemaxon	valid
406	C(CO)(C(C(C)O)C(C=O)O)=O	AOWGVLKQEATEAM-UHFFFAOYSA-N	chemaxon	valid
407	C(CC(C=O)O)(C(C(C)O)O)=O	VQYVRVGVXZZBBM-UHFFFAOYSA-N	chemaxon	valid
408	C(CC(C(CC(CO)=O)O)O)=O	RZMXAXYXCMZZKG-UHFFFAOYSA-N	chemaxon	valid
409	C(CC(CO)(CC(C=O)O)O)=O	RJZUVQIHALYHDY-UHFFFAOYSA-N	chemaxon	valid
410	C(CO)(C(C(CN)O)C(C=O)O)=O	AJAKNUGKXKNUHG-UHFFFAOYSA-N	chemaxon	valid
411	C(CC(C=O)O)(C(C(CN)O)O)=O	QZXYISGJGGNJQY-UHFFFAOYSA-N	chemaxon	valid
412	C(C(C(C(CC(CO)=O)O)O)N)=O	LYEVRAJHSOLENZ-UHFFFAOYSA-N	chemaxon	valid
413	C(C(C(CO)(CC(C=O)O)O)N)=O	JRKPKDOHARBRCC-UHFFFAOYSA-N	chemaxon	valid
414	C(C(C(CO)CO)=O)=O	BNDGASSXTUYLJW-UHFFFAOYSA-N	chemaxon	valid
415	C(CO)(C(CO)CO)=O	XZFDOIXMTIDWDO-UHFFFAOYSA-N	chemaxon	valid
416	C(C(CO)C(C=O)O)=O	WUBTWNPCKICXSK-UHFFFAOYSA-N	chemaxon	valid
417	C(CCO)=O	AKXKFZDCRYJKTF-UHFFFAOYSA-N	database	valid
418	C(C(CO)O)(C(CO)O)=O	WXYXERHRDKEISL-UHFFFAOYSA-N	chemaxon	valid
419	C(C(CO)C(C(C(CO)O)=O)O)=O	KEGXIOHQYHVWKC-UHFFFAOYSA-N	chemaxon	valid
420	C(C(C(CO)O)=O)(CC(CO)O)=O	JKFVOTJMSLMELH-UHFFFAOYSA-N	chemaxon	valid
421	C(C(CO)=O)(C(CO)C(CO)O)=O	NFOZNSJVINUQEE-UHFFFAOYSA-N	chemaxon	valid
422	C(C(CO)O)(CC(C(CO)O)=O)=O	QDQFXZIVWAXUMB-UHFFFAOYSA-N	chemaxon	valid
423	C(C(CO)O)(C(C(CO)=O)CO)=O	GBCWWKKGYUHFPB-UHFFFAOYSA-N	chemaxon	valid
424	C(C(CC(C(C(CO)O)=O)O)O)=O	AVJGHBRTAYUJSR-UHFFFAOYSA-N	chemaxon	valid
425	C(CCO)(C(C(C(CO)O)=O)O)=O	QTYMIXNUUDQCCP-UHFFFAOYSA-N	chemaxon	valid
426	C(C(CO)CO)(C(C(CO)=O)O)=O	SIWJRZQFVBULQV-UHFFFAOYSA-N	chemaxon	valid
427	C(CC(C(C(CO)O)=O)O)(CO)=O	BZMKVIKUGXFQFU-UHFFFAOYSA-N	chemaxon	valid
428	C(CO)(C(CO)C(C(CO)=O)O)=O	HWECNILNFFFMSL-UHFFFAOYSA-N	chemaxon	valid
429	C(CC(C(CO)=O)O)(C(CO)O)=O	NBIBGOBVYANFCY-UHFFFAOYSA-N	chemaxon	valid
430	C(CC(C(C(C(CO)O)=O)O)O)=O	OTLZMFCYYWXORK-UHFFFAOYSA-N	chemaxon	valid
431	C(C(CO)C(C(C(CO)=O)O)O)=O	RFJJDVFHYMQNEB-UHFFFAOYSA-N	chemaxon	valid
432	C(C(CO)N)=O	UXPVGJOKPUABJV-UHFFFAOYSA-N	chemaxon	valid
433	C(C(CO)O)(C(CO)N)=O	YHKGTFSEJPIKDQ-UHFFFAOYSA-N	chemaxon	valid
434	C(C(CO)C(C(C(CO)O)=O)N)=O	IFYJGVCJAQNEPB-UHFFFAOYSA-N	chemaxon	valid
435	C(C(C(CO)N)=O)(CC(CO)O)=O	STLKSPIESNNXIX-UHFFFAOYSA-N	chemaxon	valid
436	C(C(CN)=O)(C(CO)C(CO)O)=O	XQYLCSPTPJHIMX-UHFFFAOYSA-N	chemaxon	valid
437	C(C(CO)N)(CC(C(CO)O)=O)=O	WIOIOIRKWALKEO-UHFFFAOYSA-N	chemaxon	valid
438	C(C(CO)O)(C(C(CN)=O)CO)=O	DUGOIXBITLIEAG-UHFFFAOYSA-N	chemaxon	valid
439	C(C(CO)O)(C(CC(C=O)O)N)=O	JUNHFESEKWSOOA-UHFFFAOYSA-N	chemaxon	valid
440	C(CCO)(C(C(C(CO)N)=O)O)=O	MNNCLMJYNWYCSL-UHFFFAOYSA-N	chemaxon	valid
441	C(C(CO)CO)(C(C(CN)=O)O)=O	JYLLISKMQOGUJL-UHFFFAOYSA-N	chemaxon	valid
442	C(CC(C(C(CO)N)=O)O)(CO)=O	CLBHZWKVRDYFON-UHFFFAOYSA-N	chemaxon	valid
443	C(CO)(C(CO)C(C(CN)=O)O)=O	SVHGCKJDZVSSDU-UHFFFAOYSA-N	chemaxon	valid
444	C(CC(C(CN)=O)O)(C(CO)O)=O	VTWFMYCWQADGFL-UHFFFAOYSA-N	chemaxon	valid
445	C(C(C(C(C(CO)N)=O)O)O)(C)=O	VNCXDRVBLCOMRO-UHFFFAOYSA-N	chemaxon	valid
446	C(CC(C(C(C(CO)N)=O)O)O)=O	VYHOEEBXOWCBST-UHFFFAOYSA-N	chemaxon	valid
447	C(C(CO)C(C(C(CN)=O)O)O)=O	KJTUHGVSSBFNQC-UHFFFAOYSA-N	chemaxon	valid
448	C(C(C(CO)O)O)(C(CO)CO)=O	FAULLYDWMFAWCC-UHFFFAOYSA-N	chemaxon	valid
449	C(C(CO)O)(C(CO)C(CO)O)=O	JXIVACPYGBVPLJ-UHFFFAOYSA-N	chemaxon	valid
450	C(C(CO)C(C(C(CO)O)O)O)=O	XGJMBXZKQNHFER-UHFFFAOYSA-N	chemaxon	valid
451	C1(C(CO)(C(C(C1CO)O)O)O)=O	YOQYFARVKLSPJB-UHFFFAOYSA-N	chemaxon	valid
452	C(C(C(C(C(CO)O)N)=O)CO)=O	CVZWSBNSGFNKAI-UHFFFAOYSA-N	chemaxon	valid
453	C(C(C(C(CO)C(CO)O)=O)N)=O	ZYPVLPZOWIPKPQ-UHFFFAOYSA-N	chemaxon	valid
454	C(C(CO)C(C=O)O)(C(CO)N)=O	HOBGKSOFZYKOMR-UHFFFAOYSA-N	chemaxon	valid
455	C(C(C(C=O)O)N)(C(CO)CO)=O	OUAXGKPBHAAYFK-UHFFFAOYSA-N	chemaxon	valid
456	C(C(C(C(C=O)O)O)N)(CCO)=O	GOAKBAGEVQKKSE-UHFFFAOYSA-N	chemaxon	valid
